2 Johannes_2Joh_63_1_1_Der Älteste: der auserwählten Frau und ihren Kindern, die ich liebhabe in der Wahrheit, und nicht allein ich sondern auch alle, die die Wahrheit erkannt haben,
2 Johannes_2Joh_63_1_2_um der Wahrheit willen, die in uns bleibt und bei uns sein wird in Ewigkeit.
2 Johannes_2Joh_63_1_3_Gnade, Barmherzigkeit, Friede von Gott, dem Vater, und von dem HERRN Jesus Christus, dem Sohn des Vaters, in der Wahrheit und in der Liebe, sei mit euch!
2 Johannes_2Joh_63_1_4_Ich bin erfreut, daß ich gefunden habe unter deinen Kindern, die in der Wahrheit wandeln, wie denn wir ein Gebot vom Vater empfangen haben.
2 Johannes_2Joh_63_1_5_Und nun bitte ich dich, Frau (nicht als schriebe ich dir ein neues Gebot, sondern das wir gehabt haben von Anfang), daß wir uns untereinander lieben.
2 Johannes_2Joh_63_1_6_Und das ist die Liebe, daß wir wandeln nach seinem Gebot; das ist das Gebot, wie ihr gehört habt von Anfang, daß ihr in derselben wandeln sollt.
2 Johannes_2Joh_63_1_7_Denn viele Verführer sind in die Welt gekommen, die nicht bekennen Jesum Christum, daß er in das Fleisch gekommen ist. Das ist der Verführer und der Widerchrist.
2 Johannes_2Joh_63_1_8_Sehet euch vor, daß wir nicht verlieren, was wir erarbeitet haben, sondern vollen Lohn empfangen.
2 Johannes_2Joh_63_1_9_Wer übertritt und bleibt nicht in der Lehre Christi, der hat keinen Gott; wer in der Lehre Christi bleibt, der hat beide, den Vater und den Sohn.
2 Johannes_2Joh_63_1_10_So jemand zu euch kommt und bringt diese Lehre nicht, den nehmet nicht ins Haus und grüßet ihn auch nicht.
2 Johannes_2Joh_63_1_11_Denn wer ihn grüßt, der macht sich teilhaftig seiner bösen Werke.
2 Johannes_2Joh_63_1_12_Ich hatte euch viel zu schreiben, aber ich wollte nicht mit Briefen und Tinte; sondern ich hoffe, zu euch zu kommen und mündlich mit euch reden, auf daß unsere Freude vollkommen sei.
2 Johannes_2Joh_63_1_13_Es grüßen dich die Kinder deiner Schwester, der Auserwählten. Amen.
